"objectId","inSize","outSize","totalTime","parsing","extractSchema","X2Full","X2Witness","notElim","merge1","groupize","separation","expansion","preparation","merge3","initGEnv","genWitness","genSuccess","noWitness","valid","X.iterations","cancelledAt","dateAndTime","timeout","git","machine"
"o42303",1024,3472,6,1,0,0,1,0,0,1,0,0,2,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o49986",1025,50570,384,0,0,0,0,0,0,1,0,0,331,39,2,2,"True","False","True",2,NA,"",NA,"",""
"o85972",1026,1819,4,0,0,0,1,0,0,1,0,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o9967",1028,7287,3169,0,0,0,6,0,2908,1,246,0,3,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o69961",1029,2838,5,0,1,0,0,0,0,1,1,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o80277",1030,1698,2,0,0,0,0,0,1,0,0,0,0,1,0,0,"True","False","True",2,NA,"",NA,"",""
"o32502",1031,1145,4,0,0,0,0,0,0,1,0,0,2,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o79448",1032,2182,4,0,0,0,1,0,0,0,0,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o37624",1033,5902,8,0,0,0,0,0,0,0,0,1,2,0,0,2,"True","False","True",2,NA,"",NA,"",""
"o81671",1033,4082,5,0,0,0,1,0,0,1,0,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o45217",1033,6564,7,0,0,1,0,0,1,0,1,0,2,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o33194",1035,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o76762",1036,4294,37,0,1,0,6,0,2,3,3,0,7,1,10,0,"False","True","",2,NA,"",NA,"",""
"o47923",1037,2365,8,0,0,0,3,0,0,0,0,1,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o12483",1037,3721,5,1,0,0,0,0,0,1,0,0,0,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o79495",1037,5522,10,0,0,0,2,0,0,1,2,1,1,1,1,0,"True","False","True",2,NA,"",NA,"",""
"o17565",1038,3542,5,0,0,0,1,0,0,1,0,1,0,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o8462",1038,64,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o54976",1039,4060,5,0,0,0,0,0,0,1,0,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o73029",1039,1671,6,0,0,0,0,0,2,0,0,0,3,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o45139",1039,5645,7,0,0,0,0,0,1,1,1,0,2,1,1,0,"True","False","True",2,NA,"",NA,"",""
"o17665",1041,2138,4,0,0,0,1,0,0,1,0,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o20460",1041,2437,9,1,0,0,3,0,1,1,0,0,2,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o9404",1043,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o42187",1043,4002,4,0,1,0,0,0,0,1,1,0,0,1,0,0,"True","False","True",2,NA,"",NA,"",""
"o77344",1044,3592,6,0,0,0,1,0,0,0,1,0,1,1,1,0,"True","False","True",2,NA,"",NA,"",""
"o90920",1045,3153,3,0,0,0,0,0,0,1,0,0,0,1,0,0,"True","False","True",2,NA,"",NA,"",""
"o45195",1045,5881,6,0,0,0,0,0,0,1,1,0,1,1,1,0,"True","False","True",2,NA,"",NA,"",""
"o46416",1046,1682,5,1,0,0,1,0,0,1,0,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o17987",1047,4675,46,0,0,0,2,0,0,1,1,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o46906",1048,1185,2,0,1,0,0,0,0,0,0,0,1,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o21475",1048,3499,11,0,0,0,3,0,1,1,0,0,1,0,2,0,"True","False","True",2,NA,"",NA,"",""
"o65454",1050,1459,4,0,0,0,1,0,0,1,0,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o53899",1050,2210,5,0,0,0,1,0,0,1,0,0,2,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o21868",1050,2927,4,0,0,0,1,0,0,0,1,0,1,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o79539",1050,5902,10,0,0,0,2,0,0,1,3,0,1,1,1,1,"True","False","True",2,NA,"",NA,"",""
"o36600",1051,3482,12,0,0,0,5,0,2,0,0,0,3,0,1,0,"True","False","True",2,NA,"",NA,"",""
"o20487",1052,1579,4,1,0,0,1,0,0,0,1,0,0,1,0,0,"True","False","True",2,NA,"",NA,"",""
"o68332",1052,2960,3,0,0,0,0,0,0,1,0,0,1,0,0,0,"True","False","True",2,NA,"",NA,"",""
"o17401",1053,2034,5,0,0,0,1,0,0,1,0,0,1,0,0,1,"True","False","True",2,NA,"",NA,"",""
"o35154",1053,10789,21,0,0,0,4,0,1,1,9,0,1,1,1,0,"True","False","True",2,NA,"",NA,"",""
