objectId,inSize,outSize,totalTime,correctTime,oneOfAsAnyOf,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o12296,3676,5108,11,9,true,2,0,0,1,0,1,2,0,0,0,0,0,0,true,false,true,2,,,,,
o14497,3678,15463,30,28,true,1,0,1,0,0,0,3,3,0,6,0,1,2,true,false,true,2,,,,,
o25768,3680,18389,26,25,true,1,0,0,1,0,1,2,2,1,5,1,2,1,true,false,true,2,,,,,
o42888,3680,78510,22738,22737,true,2,0,1,21,0,21589,26,979,3,24,52,2,2,true,false,true,2,,,,,
o22583,3682,64,2,1,true,1,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o71300,3684,64,2,2,true,1,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o82649,3685,13227,49,48,true,1,0,0,16,0,9,3,7,0,4,2,1,1,true,false,true,2,,,,,
o55357,3686,16022,52,50,true,1,1,0,11,0,13,3,7,0,5,1,1,0,true,false,true,2,,,,,
o82323,3687,11489,22828,22825,true,1,1,0,14,0,21787,2,1007,0,4,1,1,1,true,false,true,2,,,,,
o54560,3688,31960,50,49,true,1,0,0,3,0,8,3,0,0,10,1,2,5,true,false,true,2,,,,,
o77299,3688,26745,81,80,true,1,0,1,20,0,3,5,6,1,26,3,2,2,true,false,true,2,,,,,
o65372,3689,31787,64,63,true,1,0,1,14,0,1,6,7,2,8,1,2,3,true,false,true,2,,,,,
o27258,3692,7317,22,21,true,2,0,0,2,0,1,1,2,0,7,0,1,0,true,false,true,2,,,,,
o46566,3694,9972,31,29,true,2,0,0,9,0,1,3,3,1,6,1,1,0,true,false,true,2,,,,,
o82657,3695,12389,43,42,true,1,0,1,9,0,9,3,6,0,4,1,2,0,true,false,true,2,,,,,
o48406,3698,6129,11,10,true,2,0,0,1,0,1,2,1,0,0,1,0,0,true,false,true,2,,,,,
o42286,3699,12570,29,28,true,1,0,0,7,0,2,2,2,0,6,0,1,1,true,false,true,2,,,,,
o69741,3700,1860,7,6,true,1,1,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o78062,3701,15906,57,56,true,1,1,0,9,0,10,3,11,1,6,1,2,2,true,false,true,2,,,,,
o1707,3704,2642,6,5,true,2,0,0,0,0,0,1,1,0,0,0,1,0,true,false,true,2,,,,,
o61601,3704,16394,78,77,true,2,0,0,20,0,7,4,29,1,6,3,1,0,true,false,true,2,,,,,
o27788,3713,13437,30,29,true,1,0,1,5,0,2,2,2,1,4,1,1,2,true,false,true,2,,,,,
o9827,3713,9895,46,46,true,1,0,0,7,0,17,2,6,1,5,0,1,1,true,false,true,2,,,,,
